style,price,rating,size,season,neck line,sleeve length,waiseline,material,pattern type,recommendation
casual,average,0,free,summer,o-neck,sleeveless,natural,cotton,floral,0
sexy,average,0,free,winter,o-neck,sleeveless,natural,polyster,solid,0
sexy,low,4.4,free,autumn,v-neck,sleeveless,natural,cotton,solid,0
sexy,average,0,free,spring,v-neck,full,natural,cotton,solid,1
brief,average,4.9,xl,spring,slash-neck,full,natural,null,solid,0
casual,average,4.7,xl,summer,v-neck,half-sleeve,natural,null,print,1
casual,average,0,free,autumn,v-neck,full,natural,cotton,solid,0
casual,average,4.8,m,summer,v-neck,full,natural,null,null,0
casual,average,4.9,l,spring,sqare-collor,sleeveless,empire,null,print,0
party,average,4.7,m,spring,o-neck,half-sleeve,empire,null,patchwork,0
sexy,low,4.4,free,summer,bowneck,sleeveless,natural,viscos,solid,0
bohemian,low,4.6,free,winter,o-neck,sleeveless,empire,polyster,patchwork,1
casual,low,4.6,free,autumn,o-neck,full,natural,rayon,solid,1
sexy,low,4.5,free,summer,o-neck,sleeveless,empire,cotton,solid,1
sexy,low,0,free,winter,v-neck,null,dropped,cotton,null,1
casual,average,0,xl,spring,bowneck,sleeveless,natural,mix,solid,0
sexy,average,0,free,autumn,o-neck,full,natural,polyster,solid,0
sexy,low,4.8,free,spring,v-neck,sleeveless,natural,null,striped,1
brief,low,4.7,free,autumn,o-neck,sleeveless,natural,null,solid,0
sexy,high,5,m,summer,v-neck,sleeveless,natural,mix,striped,0
casual,average,4.6,l,summer,bowneck,full,dropped,cotton,patchwork,0
cute,average,4.9,s,summer,bowneck,sleeveless,empire,null,patchwork,1
novelty,average,4.9,m,autumn,o-neck,short,natural,polyster,print,0
casual,low,4.3,free,spring,o-neck,full,null,null,none,1
casual,low,4.7,s,autumn,o-neck,sleeveless,natural,cotton,solid,0
casual,average,4.8,l,autumn,boat-neck,sleeveless,natural,null,solid,0
cute,average,4.5,l,winter,v-neck,sleeveless,natural,polyster,solid,1
casual,average,4.4,free,summer,o-neck,cap-sleeves,natural,cotton,solid,0
party,average,0,m,spring,o-neck,sleeveless,null,null,solid,1
sexy,low,0,free,summer,v-neck,sleeveless,dropped,null,null,1
casual,low,4.8,l,summer,v-neck,threequarter,natural,cotton,print,0
work,average,5,m,summer,o-neck,sleeveless,natural,null,solid,1
novelty,average,5,free,summer,o-neck,sleeveless,natural,null,print,0
casual,low,4.6,free,spring,v-neck,sleeveless,natural,silk,solid,0
casual,average,4.5,m,summer,o-neck,full,natural,cotton,solid,0
casual,average,4.5,l,spring,boat-neck,threequarter,natural,null,animal,1
casual,average,4.5,free,autumn,o-neck,half-sleeve,natural,cotton,solid,1
party,average,4.9,m,winter,o-neck,half-sleeve,null,cotton,null,1
casual,low,4.4,l,summer,o-neck,sleeveless,natural,cotton,solid,0
casual,average,4.3,m,winter,slash-neck,sleeveless,natural,polyster,solid,0
cute,average,4.7,l,summer,o-neck,sleeveless,natural,polyster,solid,0
casual,low,4.4,free,summer,o-neck,sleeveless,null,null,animal,0
cute,high,4.3,m,spring,boat-neck,full,natural,polyster,solid,1
work,average,4.8,m,winter,turndown-collor,full,natural,null,solid,0
casual,average,4.6,m,spring,o-neck,half-sleeve,natural,polyster,solid,0
sexy,low,0,free,summer,v-neck,sleeveless,empire,cotton,solid,0
casual,high,4.9,xl,winter,v-neck,full,empire,cotton,solid,0
sexy,low,0,free,winter,o-neck,sleeveless,natural,lycra,solid,0
cute,average,5,m,autumn,v-neck,sleeveless,natural,cotton,solid,0
cute,low,0,free,spring,v-neck,sleeveless,natural,silk,patchwork,1
casual,low,4.4,free,summer,o-neck,full,natural,cotton,solid,0
casual,average,0,l,spring,o-neck,sleeveless,natural,chiffon,solid,0
cute,average,4.7,m,spring,o-neck,full,natural,rayon,solid,1
casual,average,4.6,m,winter,v-neck,half-sleeve,natural,silk,solid,1
casual,low,4.4,free,summer,o-neck,full,natural,cotton,solid,1
casual,low,5,m,autumn,o-neck,sleeveless,empire,null,print,1
casual,average,0,free,winter,o-neck,short,natural,polyster,solid,0
sexy,average,0,free,winter,slash-neck,sleeveless,natural,cotton,solid,1
casual,low,4.4,m,summer,o-neck,half-sleeve,empire,chiffon,solid,0
cute,average,0,l,summer,o-neck,sleeveless,empire,cotton,solid,1
casual,low,4.8,free,winter,bowneck,full,natural,polyster,solid,0
casual,average,5,l,summer,o-neck,sleeveless,natural,cotton,null,1
cute,average,4.6,m,spring,o-neck,half-sleeve,natural,acrylic,null,0
bohemian,low,4.6,free,summer,o-neck,sleeveless,natural,cotton,solid,1
brief,average,4.7,m,winter,o-neck,half-sleeve,natural,acrylic,striped,0
casual,low,4.7,m,spring,o-neck,full,natural,polyster,solid,1
sexy,low,4.3,free,summer,o-neck,full,empire,cotton,null,0
casual,average,4.7,m,summer,v-neck,full,empire,cotton,solid,1
casual,average,4.6,l,winter,boat-neck,sleeveless,empire,silk,print,1
casual,low,4.4,free,summer,v-neck,short,empire,cotton,solid,0
